"name","playerid","Bats","Age_2024","G_2024","AB_2024","PA_2024","H_2024","X1B_2024","X2B_2024","X3B_2024","HR_2024","Age_2023","G_2023","AB_2023","PA_2023","H_2023","X1B_2023","X2B_2023","X3B_2023","HR_2023","Age_2022","G_2022","AB_2022","PA_2022","H_2022","X1B_2022","X2B_2022","X3B_2022","HR_2022","Age_2021","G_2021","AB_2021","PA_2021","H_2021","X1B_2021","X2B_2021","X3B_2021","HR_2021","Age_2020","G_2020","AB_2020","PA_2020","H_2020","X1B_2020","X2B_2020","X3B_2020","HR_2020","Age_2019","G_2019","AB_2019","PA_2019","H_2019","X1B_2019","X2B_2019","X3B_2019","HR_2019","Age_2018","G_2018","AB_2018","PA_2018","H_2018","X1B_2018","X2B_2018","X3B_2018","HR_2018","R_2018"
"Brandon Finnegan",16208,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,5,7,7,0,0,0,0,0,0
"Jake Reed",16209,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,4,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kevin Cron",16211,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,8,17,20,0,0,0,0,0,26,39,71,78,15,5.05050505050505,3.88349514563107,0,6.12244897959184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brett Graves",16218,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,21,2,2,0,0,0,0,0,0
"J.D. Davis",16219,"R",31,46,142,157,31.0408163265306,21.2561374795417,5.18053375196232,0,4.65116279069767,30,144,480,546,121.428571428571,75.4901960784314,25.8426966292135,0.833333333333333,19.3548387096774,29,115,318,365,81.8801234962206,48.8679245283019,18,0.980392156862745,16.0221952488295,28,73,179,211,53.6842105263158,35.0515463917526,13.6363636363636,0,5.15463917525773,27,56,190,229,49.4736842105263,35.9550561797753,8.65384615384615,0,5.21739130434783,26,140,410,453,134.042553191489,89.010989010989,22.680412371134,2.08333333333333,21.3592233009709,25,42,103,113,18.75,15.4639175257732,2.1505376344086,0,0.970873786407767,9.57446808510638
"Bradley Zimmer",16221,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,109,105,117,12.7354788069074,6.08294930875576,4.59572845156369,0,2.27272727272727,28,99,299,348,67.3267326732673,51.0204081632653,8.41121495327103,1.33333333333333,7.47663551401869,27,20,37,50,5.45454545454545,4.67289719626168,0,0,0.970873786407767,26,9,13,14,0,0,0,0,0,25,34,106,114,22.6415094339623,16.8316831683168,4.3859649122807,0,1.63934426229508,12.5
"Tejay Antone",16233,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,23,3,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AJ Reed",16246,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,14,44,49,6.45161290322581,4.90196078431372,0,0,0.917431192660551,25,1,3,3,0,0,0,0,0,0
"Trea Turner",16252,"R",31,121,505,539,150.505050505051,100.980392156863,26.5957446808511,0,22.3404255319149,30,155,639,691,180.851063829787,116.85393258427,34.3137254901961,8.06451612903226,23.4234234234234,29,160,652,708,200,144.444444444444,36.7924528301887,4.70588235294118,17.5,28,148,595,646,190.47619047619,129.596273291925,34.0852130325814,3,24.0895190436475,27,59,233,259,78.7878787878788,47,15.625,3.92156862745098,12.7659574468085,26,122,521,569,149.038461538462,92.156862745098,33.0357142857143,6.66666666666667,17.9245283018868,25,162,664,740,173.076923076923,129.292929292929,23.6842105263158,7.5,16.1016949152542,95.3703703703704
"Kyle Freeland",16256,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,25,33,40,5.55555555555556,4.62962962962963,0.961538461538462,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,22,23,31,1.68067226890756,1.66666666666667,0,0,0,25,33,65,71,5.21739130434783,3.57142857142857,1.69491525423729,0,0,4.0650406504065
