"name","Bats","predicted_PA","team"
"Mickey Gasper","B",208.7245254,"MIN"
"James Outman","L",308.5353,"LAD"
"David Villar","R",192.201,"SFG"
"Andy Pages","R",385.02338,"LAD"
"David Fry","R",352.05955,"CLE"
"Vinny Capra","R",105.7453,"MIL"
"Nate Eaton","R",155.9525,"BOS"
"David Hensley","R",103.11658,"DET"
"Levi Jordan","R",137.21142,"CIN"
"Daniel Schneemann","L",265.94052,"CLE"
"Endy Rodriguez","B",201.0546276,"PIT"
"Michael Stefanic","R",143.27634,"TOR"
"Austin Shenton","L",157.98783,"SEA"
"Greg Jones","B",274.8187037,"COL"
"Peyton Burdick","R",163.478,NA
"Logan Driscoll","L",175.60704,"TBR"
"Cam Eden","R",155.24928,"NYY"
"Isaac Collins","B",126.3520206,"MIL"
"Brenton Doyle","R",630.11432,"COL"
"TJ Hopkins","R",163.70214,"DET"
"Nick Sogard","B",236.3154017,"BOS"
"Joey Ortiz","R",412.7446,"MIL"
"Cade Marlowe","L",139.36195,"SEA"
"Aaron Schunk","R",259.79824,"COL"
"Korey Lee","R",273.525,"CHW"
"Jake Alu","L",184.017,NA
"Kyle McCann","L",165.8396,"ATH"
"Marco Luciano","R",258.478,"SFG"
"Bryan Ramos","R",327.388,"CHW"
"Drew Millas","B",234.4983804,"WSN"
"Will Brennan","L",333.8409,"CLE"
"Grant McCray","L",259.622,"SFG"
"Dustin Harris","L",280.78764,"TEX"
"Bobby Witt Jr","R",712.60776,"KCR"
"CJ Abrams","L",611.0856,"WSN"
