"playerid","name","Bats","dist1b","dist2b","dist3b","distHR","distIBB"
7927,"Eric Sogard","L",0.759689534461022,0.203666284774529,0.0103868636294337,0.0397061504698579,0.0645279368108567
7949,"Tim Beckham","R",0.71012044926727,0.172214795008912,0.00571378340365684,0.110174589201878,0
7996,"Jose A Martinez","R",0.668234874308395,0.198240326280147,0.00780565511748306,0.12212881889109,0.0344924623115578
8001,"Hanley Ramirez","R",0.701140132669984,0.126205450733753,0,0.17665544332211,0
8004,"Marcus Walden","R",NA,NA,NA,NA,0
8044,"Jason Vargas","L",0.974608302254172,0,0,0,0
8048,"Will Smith","R",0.947115384615384,0,0,0,0
8073,"Dan Jennings","L",0.510526315789475,0.530054644808745,0,0,0
8090,"Matt Carpenter","L",0.529490353330333,0.266409521054354,0.00826393373965593,0.189883905755381,0.0418369214962873
8137,"Jaime Garcia","L",NA,NA,NA,NA,0
8173,"Yovani Gallardo","R",NA,NA,NA,NA,0
8202,"Josh Harrison","R",0.71610201208103,0.185504313687091,0.0135920620503669,0.0842742187487095,0.00967592592592594
8203,"Dee StrangeGordon","L",0.842422250395631,0.0883210492804863,0.0451579421015784,0.0147004275385497,0.01375
8223,"Brett Anderson","L",0.989730372720066,0,0,0,0
8241,"David Robertson","R",NA,NA,NA,NA,0
8246,"Paolo Espino","R",1,0,0,0,0
8252,"Hunter Pence","R",0.545025485483202,0.14063114519324,0.065658199706553,0.249048365408767,0.0307575757575758
8259,"Kurt Suzuki","R",0.657491167099059,0.19948192536585,0,0.142441104126989,0.01005
8267,"Chris Iannetta","R",0.590619846703315,0.237543014188844,0.00492948103519102,0.170357078232144,0.134166666666667
8298,"Francisco Pena","R",0.780223619846262,0.119976359338061,0,0.0808442851453603,0.485
8347,"Denard Span","L",0.637090351864963,0.195615996025831,0.059695072486523,0.107254397179267,0
8362,"Homer Bailey","R",1,0,0,0,0
8370,"Dustin Pedroia","R",1,0,0,0,0
8385,"Pedro Florimon","B",0.446598471456796,0.375669677024338,0.0591385542168676,0.116315165876778,0
8392,"Daniel Descalso","L",0.617357427295567,0.228849228302176,0.0322735069519739,0.119152367337807,0.015625
8418,"Ehire Adrianza","B",0.666033347385993,0.235158129979624,0.0196250464451283,0.0776983400341202,0.0195272619047619
8536,"Tyler Cloyd","R",NA,NA,NA,NA,0
8553,"Gerardo Parra","L",0.706865653365418,0.196554786928068,0.00518794469967439,0.0907683412249207,0.0831096459537571
8580,"Justin Miller","R",NA,NA,NA,NA,0
8609,"Tim Federowicz","R",0.462620774525629,0.309512715571781,0,0.235178804151286,0
8610,"Kendrys Morales","B",0.759321864179906,0.0968979248423443,0.0154139994357338,0.129028738241753,0.0492450000000001
8623,"Donovan Solano","R",0.725716480394095,0.204289127656956,0.00574386599481916,0.0627860598734601,0.0261247807017544
8628,"Paulo Orlando","R",0.803980099502486,0.198039215686274,0,0,0
8700,"Justin Verlander","R",0.994923857868017,0,0,0,0
8709,"Elvis Andrus","R",0.683966547762063,0.212552698667314,0.011887450545954,0.0873121382328443,0.0218668564199874
8722,"Jason Castro","L",0.535667927987044,0.29988715672049,0,0.166628989180005,0.00767999999999999
8753,"Tanner Roark","R",0.672772955687528,0.191348502548853,0.0515151515151514,0.0939252336448598,0
8779,"Wade Miley","L",0.871026315789474,0.150731707317073,0,0,0
8782,"Andrew Cashner","R",NA,NA,NA,NA,0
8823,"Oliver Drake","R",1,0,0,0,0
8879,"Ryan Lavarnway","R",0.628812388494843,0.272432458293739,0,0.0939252336448597,0
9015,"Gordon Beckham","R",0.709043246445498,0.212150659844944,0.0142326732673267,0.0656725888324873,0
9054,"Justin Smoak","B",0.51436308647787,0.26169703559497,0,0.21523006080329,0.0208235016013421
9073,"Kirby Yates","L",NA,NA,NA,NA,0
9077,"Lorenzo Cain","R",0.757856762128414,0.191501201330493,0.00218652387327086,0.0553693576521758,0.0680093896713615
9111,"Brad Hand","L",NA,NA,NA,NA,0
9112,"Khris Davis","R",0.572001499621001,0.204161431316793,0.0150298639362244,0.212571109349241,0.0380724846736386
9132,"Nathan Eovaldi","R",0.965517241379306,0,0,0,0
9134,"Tyler Flowers","R",0.60313286805678,0.245756146423627,0.0150243040212108,0.131513378510241,0.0332258064516129
9149,"Tim Melville","R",1,0,0,0,0
9166,"Buster Posey","R",0.680190841545064,0.215121381243822,0.00273235186166958,0.0973165545855598,0.0606437908496732
9174,"Casey Kelly","R",NA,NA,NA,NA,0
9205,"Logan Morrison","L",0.484747760086743,0.231451154298583,0,0.277806664650402,0
9218,"Paul Goldschmidt","R",0.607418060692851,0.209384186867585,0.00647040715255142,0.177796287930273,0.0439051475637874
9241,"Starling Marte","R",0.69521999021583,0.170118087703204,0.0266210051414104,0.107721220036924,0.0482943604821237
9253,"Keon Broxton","R",0.574465631848272,0.131395087354632,0.0648148148148147,0.218602392423434,0
9256,"AJ Pollock","R",0.592298692280801,0.203123142664792,0.0115179513201407,0.186357479432917,0.0527945301542777
9266,"Daniel Corcino","R",NA,NA,NA,NA,0
9272,"Chris Davis","L",0.590990103996974,0.279636114937333,0,0.131676256233218,0.0240160516989786
9284,"Chris Herrmann","L",0.647473298262394,0.19798893916541,0.0575705238917675,0.0939775335693727,0
9308,"Josh Phegley","R",0.380108795677859,0.187556535712098,0,0.444257930514945,0
9309,"Buddy Baumann","L",NA,NA,NA,NA,0
9323,"Patrick Corbin","L",0.91269716073138,0.0834535036474422,0,0,0
9325,"Jared Hughes","R",NA,NA,NA,NA,0
9345,"Brock Holt","L",0.719073621538552,0.223063920580234,0.0162232243774251,0.0433001497092099,0.0228643822393823
9346,"Brandon Morrow","R",NA,NA,NA,NA,0
9362,"Adam Moore","R",0.482758620689655,0.262032085561498,0,0.267759562841531,0
9368,"Evan Longoria","R",0.586124826045233,0.205798516613314,0.0106483734413954,0.206501147061835,0.0577928444653251
9388,"Josh Tomlin","R",1,0,0,0,0
9393,"Matt Adams","L",0.621302642674861,0.18095866574856,0,0.195858684478022,0.101912193251534
9417,"Kris Medlen","B",NA,NA,NA,NA,0
9433,"Dustin Garneau","R",0.608843741558442,0.190347032551748,0.0375968992248062,0.165216556799116,0
9434,"Dallas Keuchel","L",0.812060301507537,0.186175115207373,0,0,0
9460,"Dan Straily","R",0.761538461538462,0.198994974874372,0,0,0
