"PlayerName","playerid","K/9","HR/9","BB/9","AVG","ERA","SO","BB","HR","ER","HLD","H","R","IBB","HBP"
"Ricky Salinas","sa3007456",6.7581,1.742,4.1742,0.272818,5.62644,0.7509,0.4638,0.193556,0.62516,0,1.0943,0.6625,0.0202,0.0511
"Ricky Tiedemann","sa3018096",9.356175,1.125,4.2003,0.23249,4.16394,35.4927,16.2167,4.0625,15.228285,0,27.4653,16.24715,0.00145,3.0268
"Ricky Vanasco","23391",8.41192222222222,0.955078444444444,3.919565,0.239102666666667,3.80544555555556,21.136301376237,10.007522360214,2.45167798078683,9.49047537184966,0.60755,18.7572466666667,11.0895266666667,0.388092666666667,0.811261
"Rico Garcia","20023",9.24698666666667,1.25837833333333,4.10691333333333,0.232030416666667,4.38796666666667,26.2073220133333,12.1424165496296,3.48243941695988,12.7155324567901,0,22.9449,13.7464,0.5118,0.5198
"Riggs Threadgill","sa3018111",5.5485,1.354,6.1497,0.279301,5.92245,0.6165,0.6833,0.150444,0.65805,0,1.1148,0.7014,0.0273,0.0513
"Riley Bauman","sa3023102",4.9752,1.805,5.3775,0.289067,6.56514,0.5528,0.5975,0.200556,0.72946,0,1.175,0.7711,0.0035,0.0697
"Riley Cooper","sa3023503",5.1525,1.513,5.2038,0.282039,5.83038,0.5725,0.5782,0.168111,0.64782,0,1.1367,0.6894,0.0091,0.0455
"Riley Cornelio","sa3020830",4.9293,1.551,4.9086,0.280457,5.83011,0.5477,0.5454,0.172333,0.64779,0,1.1248,0.6897,0.0031,0.042
"Riley Davis","sa3018145",6.0543,1.437,3.33,0.269,4.91256,0.6727,0.37,0.159667,0.54584,0,1.0735,0.5852,0.0098,0.0473
"Riley Frey","sa3022909",5.715,1.328,3.9105,0.279439,5.15277,0.635,0.4345,0.147556,0.57253,0,1.1222,0.6143,0.0052,0.0416
"Riley Gowens","sa3022948",7.60175,1.54572,3.548475,0.259842,5.00057,44.9126,20.2001,8.589222,28.77892,0,53.0159,31.29655,0.0015,2.02175
"Riley Martin","sa3017601",9.414695,1.040425,5.168635,0.2319325,4.276755,32.00015,17.771,3.5549445,14.723895,0,25.4511,15.74315,0.01265,1.5236
"Riley O'Brien","20348",9.01518705882353,1.00740288235294,4.73152235294118,0.239299764705882,4.37575647058824,51.1096945443691,26.7897758756909,5.71391859736332,24.7589421625283,6.57251142857143,45.8551142857143,25.5116,0,3.80096
"Riley Pint","21858",10.1977922222222,0.993623611111111,5.68451944444444,0.216400972222222,4.22326194444444,26.8432127695679,15.7416378408951,2.70922281450617,11.465313157284,0,17.43055,12.7412,0.0127,4.03655
"Riley Smith","19826",5.7357,1.371,2.6901,0.281009,4.98033,0.6373,0.2989,0.152333,0.55337,0,1.1364,0.5914,0.0232,0.0401
"Riley Thompson","sa876287",6.653555,1.367045,3.9159,0.2642085,4.94946,33.8573,20.20705,6.577778,24.27628,0,46.03145,26.29585,0.50375,0.5165
"Rio Britton","sa3023379",5.9256,1.089,6.2694,0.277396,5.50917,0.6584,0.6966,0.121,0.61213,0,1.0986,0.6569,0.0241,0.05
"Rio Gomez","sa3004676",7.3395,1.433,3.6378,0.258551,4.79772,0.8155,0.4042,0.159222,0.53308,0,1.0197,0.5683,0.0076,0.0489
"Riskiel Tineo","sa3018375",4.9932,1.363,5.6916,0.286129,5.96088,0.5548,0.6324,0.151444,0.66232,0,1.1529,0.7062,0.0272,0.0443
"Rito Lugo","sa3008237",5.7465,1.318,4.0833,0.27639,5.13477,0.6385,0.4537,0.146444,0.57053,0,1.1057,0.6119,0.0081,0.0498
"River Ryan","29514",7.85082444444445,1.27889444444444,3.62210916666667,0.2528,4.54520833333333,34.3800449269136,15.8004878133333,5.28358819506173,19.0836979814815,0,35.5114,20.2763,0.00145,2.5242
"Roansy Contreras","22810",7.83835176470588,1.26466676470588,3.37780764705882,0.238827882352941,4.24696529411765,34.5101629586159,14.7437559604706,5.57041739061592,18.5857620785606,0.898061428571429,36.1895,20.6700285714286,0,1.53526571428571
"Rob Griswold","sa3018118",5.2722,1.229,4.095,0.284674,5.23701,0.5858,0.455,0.136556,0.58189,0,1.1459,0.6258,0.0262,0.0567
"Rob Hensey","sa3020332",5.8113,1.673,5.9454,0.284212,6.29352,0.6457,0.6606,0.185889,0.69928,0,1.1485,0.7411,0.0142,0.0474
"Rob Kaminsky","15792",6.526935,0.98663,2.946265,0.2623805,4.168525,16.3557,7.1657,2.551889,10.720675,0,23.02355,11.7418,0.01235,1.5221
"Rob Zastryzny","15094",8.38031818181818,1.33181781818182,3.61919454545455,0.24383,4.51370363636364,15.4380773325965,6.51301526568227,2.38138430921249,8.20405762049586,0.072177,14.148235,7.4626325,0.1273435,0.8016965
"Robbie Baker","sa3008103",6.9264,1.332,3.1536,0.26332,4.63365,0.7696,0.3504,0.148,0.51485,0,1.0423,0.5514,0.0251,0.0433
"Robbie Erlin","10354",6.8049,1.282,3.051,0.262073,4.4271,0.7561,0.339,0.142444,0.4919,0,1.036,0.5287,0.0254,0.0429
"Robbie Hitt","sa3004463",7.3674,1.146,3.7827,0.260382,4.53717,0.8186,0.4203,0.127333,0.50413,0,1.0208,0.5433,0.0254,0.0583
