"name","playerid","new_TBF","TBF","Source","TBF_adj_rate"
"Edwuin Bencomo","sa917763",4.419,NA,NA,NA
"Efrain Contreras","sa3005692",131.706,NA,NA,NA
"Eiberson Castellano","sa3015414",207.5925,NA,NA,NA
"Eider Machuca","sa3019430",5.048,NA,NA,NA
"Eiker Huizi","sa3007842",4.658,NA,NA,NA
"Eiver Espinoza","sa3018908",4.875,NA,NA,NA
"Eli Ankeney","sa3020390",4.622,NA,NA,NA
"Eli Lingos","sa3006798",4.396,NA,NA,NA
"Eli Morgan","20203",208.526941176471,168.52,"REZ1",1.23740173971321
"Eli Saul","sa3020471",4.49,NA,NA,NA
"Eli Villalobos","20408",104.642333333333,126.684,"REZ1",0.82601065117405
"Elian Serrata","sa3018871",4.99,NA,NA,NA
"Eliander Alcalde","sa3016519",4.717,NA,NA,NA
"Elias Moscoso","sa3019159",5.092,NA,NA,NA
"Eliazar De Los Santos","sa3019709",4.931,NA,NA,NA
"Eliazar Dishmey","sa3019181",4.625,NA,NA,NA
"Eliecer Bata","sa3019254",4.892,NA,NA,NA
"Eliecer Romero","sa3015945",5.071,NA,NA,NA
"Elieser Hernandez","16933",182.89325,246.672,"REZ1",0.741443090419667
"Eliezer Pena","sa3022119",4.928,NA,NA,NA
"Eligio Paredes","sa3019129",4.697,NA,NA,NA
"Elijah Birdsong","sa3020377",4.728,NA,NA,NA
"Elijah Dale","sa3023501",4.574,NA,NA,NA
"Elijah Pleasants","sa3024979",4.732,NA,NA,NA
"Eliseo Mota","sa3019718",4.833,NA,NA,NA
"Elison Joseph","sa3015306",103.222,NA,NA,NA
"Elliot Johnstone","sa3020801",4.726,NA,NA,NA
"Elmer RodriguezCruz","sa3019459",4.555,NA,NA,NA
"Elvin Jimenez","sa3019756",5.112,NA,NA,NA
"Elvin Rodriguez","20962",106.827346666667,182.556,"REZ1",0.585175763418713
"Elvis Alvarado","sa919291",124.6405,NA,NA,NA
"Elvis Garcia","sa3015360",4.717,NA,NA,NA
"Elvis Jerez","sa3009469",4.733,NA,NA,NA
"Elvis Novas","sa3016816",4.735,NA,NA,NA
"Elvis Peguero","21652",240.954294117647,219.685,"REZ1",1.09681723430206
"Elvis Soto","sa3019556",4.642,NA,NA,NA
"Elwis Mijares","sa3021009",4.802,NA,NA,NA
"Emailin Montilla","sa3020956",4.417,NA,NA,NA
"Emannoel Madeira","sa3021737",4.89,NA,NA,NA
"Emerson Hancock","27470",245.151764705882,180.728,"REZ1",1.35646808854125
"Emerson Talavera","sa3016005",4.744,NA,NA,NA
"Emiliano Teodo","sa3015158",120.710842857143,NA,NA,NA
"Emilio Castillo","sa3016812",5.035,NA,NA,NA
"Emilio Marquez","sa3006145",4.413,NA,NA,NA
"Emilio Pagan","14771",248.181705882353,198.157,"REZ1",1.25244985482397
"Emilio Vargas","sa736761",4.43,NA,NA,NA
"Emilker Guzman","sa3003158",4.577,NA,NA,NA
"Eminen Flores","sa3019632",4.716,NA,NA,NA
"Emmanuel Chapman","sa3023456",154.723,NA,NA,NA
"Emmanuel Clase","21032",268.236,252.462,"REZ1",1.06248069016327
"Emmanuel Martinez","sa3019055",4.883,NA,NA,NA
"Emmanuel Ramirez","17304",128.387333333333,179.599,"REZ1",0.714855502165008
"Emmanuel Reyes","sa3019071",4.572,NA,NA,NA
"Emmet Sheehan","29839",144.478311111111,190.85,"REZ1",0.757025470846796
"Emmett Olson","sa3023223",4.521,NA,NA,NA
"Enderjer Sifontes","sa3016458",4.793,NA,NA,NA
"Enderson Mercado","sa3024254",4.875,NA,NA,NA
"Endrys Briceno","sa505062",4.361,NA,NA,NA
"Engel Daniel Peralta","sa3019538",4.668,NA,NA,NA
"Engel Silvestre","sa3022397",5.081,NA,NA,NA
"Enger Sanchez","sa3019387",4.963,NA,NA,NA
"Engert Garcia","sa3021817",4.671,NA,NA,NA
