"name","playerid","new_GS","GS","Source","GS_adj_rate"
"Troy Bacon","sa918926",0.0325,NA,NA,NA
"Troy Melton","sa3020652",11.5877,NA,NA,NA
"Troy Miller","sa3008453",4.0823,NA,NA,NA
"Troy Stainbrook","sa3014806",0,NA,NA,NA
"Troy Taylor","31883",0.4182,2.091,"REZ1",0.2
"Troy Watson","sa3007249",5.56695,NA,NA,NA
"Trystan Vrieling","sa3020681",11.5863,NA,NA,NA
"Tsuyoshi Wada","13046",0.1042,NA,NA,NA
"Tucker Davidson","19871",7.52216666666667,10.133,"REZ1",0.742343498141386
"Ty Adcock","25651",0.121,0.726,"REZ1",0.166666666666667
"Ty Blach","14361",7.65591666666667,8.089,"REZ1",0.946460213458606
"Ty Buttrey","14719",0.5,NA,NA,NA
"Ty Cummings","sa3023365",0.1754,NA,NA,NA
"Ty Damron","sa738284",0.1698,NA,NA,NA
"Ty Johnson","sa3023410",0.1481,NA,NA,NA
"Ty Langenberg","sa3023101",0.1737,NA,NA,NA
"Ty Madden","30140",4.69681529411765,11.247,"REZ1",0.417606054424971
"Ty Madrigal","sa3014800",0,NA,NA,NA
"Ty Tice","20177",0.5,NA,NA,NA
"Ty Weatherly","sa3023130",0.1654,NA,NA,NA
"Ty Weber","sa3014788",0.0407,NA,NA,NA
"Tyler Ahearn","sa3017747",0,NA,NA,NA
"Tyler Alexander","17735",5.18738,12.19,"REZ1",0.425543888433142
"Tyler Anderson","12880",26.2587764705882,16.117,"REZ1",1.62925956881481
"Tyler Baum","sa1054042",0,NA,NA,NA
"Tyler Beck","sa3010563",0.0246,NA,NA,NA
"Tyler Beede","16981",2.17516666666667,-1.949,"REZ1",-1.11604241491363
"Tyler Bradt","sa3022859",0,NA,NA,NA
"Tyler Brown","sa3014450",0,NA,NA,NA
"Tyler Bryant","sa3024995",0,NA,NA,NA
"Tyler Burch","sa1172727",0.03315,NA,NA,NA
"Tyler Chatwood","4338",0,NA,NA,NA
"Tyler Cleveland","sa3020840",0,NA,NA,NA
"Tyler Clippard","5640",0,NA,NA,NA
"Tyler Cyr","18421",1.30714285714286,4.575,"REZ1",0.285714285714286
"Tyler Danish","15126",3.5,NA,NA,NA
"Tyler Davis","sa3024515",0.0291,NA,NA,NA
"Tyler Driver","sa3010253",0,NA,NA,NA
"Tyler Duffey","13758",-0.1525,-0.915,"REZ1",0.166666666666667
